sim_id,npv_merchant_eur,npv_pay_as_produced_eur,npv_baseload_eur
431,20452593.59,22813075.36,17181373.91
432,22369735.03,22588797.33,17883802.33
433,23596653.05,23204286.65,15951336.81
434,13338306.78,23903544.7,20899702.66
435,25995981.41,23434628.95,18904549.56
436,25954240.74,23963787.41,18466825.97
437,22960458.7,22821910.7,16123280.44
438,21250242.64,22985675.86,19272459.48
439,18505405.09,23822119.55,20161785.96
440,21010464.11,23224119.25,18468258.35
441,27029476.7,23367280.85,17330291.17
442,17037042.04,23708572.78,19878517.06
443,20477817.74,23462956.61,18964802.59
444,23670135.39,23034160.56,18239432.04
445,17455534.15,23517875.07,19686199.75
446,19307714.95,22854741.09,18303587.93
447,20677493.11,23325570.34,19355967.96
448,18234941.24,23354165.26,19014487.38
449,22824866.33,23492174.43,19118919.26
450,23557450.77,22816481.16,15777128.63
451,22722710.66,23291271.59,18468704.0
452,22478671.7,23956636.31,18553650.54
453,15807606.13,22922465.18,18832188.83
454,23055843.21,23418327.3,17786107.91
455,21762268.72,22948757.4,17077530.67
456,26162738.47,24099148.88,20054196.86
457,21669984.88,23070541.42,18652338.37
458,19231273.57,22829709.39,19263679.18
459,15302915.39,23439848.06,19756247.63
460,20855929.53,22562596.73,16920998.01
461,21622341.39,24019307.75,18923979.88
462,23870573.64,23791958.21,18628101.6
463,24305526.17,23763230.64,17091541.88
464,19147689.53,22783865.1,18734081.98
465,20280150.64,23582963.94,18937701.23
466,20508315.19,24145576.29,19246665.54
467,21801683.67,23210472.6,17695828.24
468,20071018.52,22776497.7,18890966.89
469,17035323.97,23185676.72,19042260.26
470,19672076.6,23146491.85,18627723.51
471,16233869.74,23346028.54,19676166.81
472,20493622.59,23472324.08,18680300.59
473,25452505.38,23062229.6,16046985.43
474,21919184.2,23620526.96,17633497.84
475,24863049.75,23935815.92,17608293.87
476,26921743.4,23302344.0,17275105.9
477,19105450.71,22641037.14,18448518.47
478,22230889.54,22664990.26,15959418.37
479,21825412.47,23409706.56,18102408.88
480,24374554.78,23973931.87,17850251.49
481,19738237.45,23567632.28,17507603.78
482,18076125.96,23910563.05,19839597.78
483,18172213.47,22463054.88,18754750.23
484,21931837.89,23059043.75,18720687.34
485,22009611.76,23789699.4,19023612.36
486,17106432.49,22717237.37,18990557.4
487,18499134.0,23413150.15,17823557.12
488,24586775.16,24069194.74,18735586.55
489,23822264.56,22917746.82,16701634.47
490,19767370.85,23890058.89,18054813.08
491,21133857.56,23588170.32,19175185.81
492,18284043.42,22942328.66,18548055.98
493,18422735.51,23083087.59,19647703.11
494,16998864.0,22929645.17,19332408.06
495,20476800.73,23566504.74,20318926.81
496,17753553.66,23860192.53,19493369.03
497,20476283.9,23398189.36,18458546.88
498,18321067.49,23987272.57,20030840.54
499,19400602.37,23791666.74,19405745.65
500,19959922.27,23560002.17,19125571.82
501,22688151.15,23406309.03,17227192.17
502,18676063.83,23215527.31,17334959.95
503,20124053.99,23340094.81,18869243.7
504,20276109.81,24052631.26,18808651.94
505,18546685.84,23337563.57,19064593.15
506,19356118.79,23098612.56,17789786.0
507,21076630.39,23229101.14,18289494.51
508,22277066.88,24486913.92,18953354.75
509,21801796.2,23169210.83,18667842.1
510,18764351.12,22687175.31,17631782.02
511,15521564.31,22892930.7,20426429.6
512,14986382.93,23135092.79,19621718.65
513,20370402.11,23150106.57,16915810.65
514,19402888.47,23351816.53,19518280.33
515,20250306.48,23783930.65,19596754.15
516,25080044.54,23609507.66,17877761.57
517,19265673.12,23338355.79,19597493.83
518,18704519.39,23646984.66,20552634.16
519,12966976.16,22731144.44,19325702.56
520,17092426.63,23435979.65,19875167.63
521,24163228.91,23857214.99,17267482.28
522,19746287.52,22865408.21,18125414.32
523,21944920.23,23630721.39,17213357.72
524,19484626.01,23623599.55,17704336.36
525,21887589.57,22991333.59,16226055.61
526,24186205.71,23495800.12,16909020.78
527,12998808.03,22580486.78,21415946.43
528,21679193.87,23652243.43,17660360.3
529,28428381.71,23590091.46,16687086.59
530,19627686.76,23012549.53,19343060.91
531,21431364.6,23600810.23,17268074.81
532,16742047.09,23714895.75,21004104.61
533,18347405.29,22743211.83,20658248.3
534,21134398.17,23888811.09,18544159.69
535,22051145.76,23157443.32,18564218.08
536,19631319.23,23273148.17,18538381.95
537,18753054.05,23855088.65,19921640.79
538,21091527.51,23536962.76,19498516.69
539,17900901.93,23509882.97,19660553.69
540,15980978.76,23360206.6,19936824.75
541,28121268.85,23482557.89,16847951.18
542,17475837.19,23290774.59,19912350.36
543,21158873.62,23507350.94,19214455.62
544,19432781.5,23360647.66,16983688.23
545,20610567.61,23685124.46,18708060.1
546,12802300.73,23654322.01,20337508.99
547,20924733.17,23309697.86,17960770.28
548,16159465.99,23675118.3,20315053.9
549,19420670.13,23356590.07,19360339.55
550,27963438.65,23849874.8,16007953.78
551,19420486.4,23253516.93,18813637.85
552,22064958.61,23179664.72,17551460.76
553,22780653.75,23738679.09,17370598.06
554,16180009.05,23945383.11,19524367.2
555,18474867.22,23688441.47,20201145.04
556,20327301.4,22966666.63,18767059.62
557,19713907.89,23602483.4,19889430.75
558,18036915.1,22872992.67,18363586.08
559,22314329.78,23568273.52,18588677.92
560,18201297.5,23155363.65,19076296.64
561,22458707.39,23321768.28,18411234.32
562,21476230.9,23929387.41,18803870.29
563,20175181.0,22866628.21,18050301.58
